Profile,ConnectionStartDateTime,ChargingEndDateTime,Power,Energy,ConnectionHours,ChargingHours
Shortstay,2020-02-10T13:00:00Z,2020-02-11T01:26:00Z,3.7,46.05946172764803,2,12.448503169634602
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:02:00Z,7.3,0.3165680583911342,2,0.043365487450840304
Shortstay,2020-02-15T13:00:00Z,2020-02-15T13:01:00Z,7.3,0.18200412953630996,2,0.024932072539220543
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:21:00Z,3.7,1.3000008727008423,2,0.35135158721644383
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:17:00Z,3.7,1.0919662961075598,2,0.29512602597501614
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:09:00Z,3.7,0.6014308359483019,2,0.16254887458062214
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:46:00Z,3.7,2.858224058856403,3,0.772492988880109
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:02:00Z,11,0.5031134893777687,2,0.045737589943433514
Shortstay,2020-02-15T08:00:00Z,2020-02-15T09:01:00Z,3.7,3.7838857540907433,2,1.0226718254299305
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:32:00Z,3.7,1.9809783422213278,3,0.5353995519517102
Shortstay,2020-02-15T07:00:00Z,2020-02-15T07:32:00Z,3.7,1.9965267464160092,2,0.5396018233556782
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:18:00Z,7.3,2.2836367637415833,2,0.3128269539372032
Shortstay,2020-02-15T08:00:00Z,2020-02-15T08:20:00Z,3.7,1.2413403255613622,2,0.33549738528685463
Shortstay,2020-02-15T12:00:00Z,2020-02-15T12:52:00Z,3.7,3.234237418215719,2,0.8741182211393835
Shortstay,2020-02-15T07:00:00Z,2020-02-15T07:57:00Z,3.7,3.568056941754559,2,0.9643397139877187
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:29:00Z,3.7,1.8059825891218657,2,0.4881034024653691
Shortstay,2020-02-15T12:00:00Z,2020-02-15T12:57:00Z,7.3,6.959347149592928,2,0.953335225971634
Shortstay,2020-02-15T12:00:00Z,2020-02-15T13:21:00Z,3.7,5.039261551654571,2,1.3619625815282623
Shortstay,2020-02-15T11:00:00Z,2020-02-15T12:30:00Z,3.7,5.606188704871947,2,1.5151861364518775
Shortstay,2020-02-15T11:00:00Z,2020-02-15T12:09:00Z,3.7,4.287868033980256,2,1.1588832524270962
